code,system
F260.11,readv2
K584.11,readv2
1474.00,readv2
F261000,readv2
F26y000,readv2
F260.00,readv2
F262800,readv2
F261.11,readv2
F26..00,readv2
F26y300,readv2
F262200,readv2
8B6N.00,readv2
1474000.0,readv2
F262400,readv2
F262300,readv2
F26z.00,readv2
27930.0,readv2
2861.0,readv2
11138.0,readv2
65262.0,readv2
103602.0,readv2
9004.0,readv2
41497.0,readv2
23621.0,readv2
2424.0,readv2
14700.0,readv2
5509.0,readv2
22685.0,readv2
28092.0,readv2
53813.0,readv2
3220.0,readv2
103973.0,readv2
10583.0,readv2
9633.0,readv2
161.0,readv2
103502.0,readv2
28031.0,readv2
3658.0,readv2
12511.0,readv2
G43,readv2
F26y100,readv2
F26y111,readv2
F261z00,readv2
F261.00,readv2
F262z00,readv2
F262.00,readv2
F26y.00,readv2
F26yz00,readv2
F26y200,readv2
Fyu5300,readv2
103451.0,readv2
5029.0,readv2
11389.0,readv2